date,close,volume,coffeePrice
2017-01-10,57.88,6672024,1.477
2017-01-11,58.1,6027960,1.49
2017-01-12,58.03,4733015,1.496
2017-01-13,57.85,4745840,1.493
2017-01-17,58.0,5734666,1.499
2017-01-18,58.45,7375725,1.492
2017-01-19,57.89,7850480,1.5075
2017-01-20,57.66,7651562,1.532
2017-01-23,57.76,6814368,1.554
2017-01-24,58.44,10704103,1.5235
2017-01-25,58.7,7124547,1.529
2017-01-26,58.46,12382416,1.5145
2017-01-27,56.12,28884899,1.524
2017-01-30,55.9,13322010,1.5115
2017-01-31,55.22,14307985,1.4955
2017-02-01,53.9,18796871,1.5015
2017-02-02,53.87,15289650,1.4595
2017-02-03,55.06,14161693,1.4625
2017-02-06,55.73,13029829,1.442
2017-02-07,55.24,9910498,1.426
2017-02-08,55.22,11681938,1.429
2017-02-09,55.81,11106757,1.452
2017-02-10,56.22,11178950,1.4575
2017-02-13,56.11,8027939,1.4425
2017-02-14,56.58,8865947,1.4365
2017-02-15,56.86,6967179,1.445
2017-02-16,56.73,8524519,1.463
2017-02-17,57.35,11008366,1.478
2017-02-21,57.54,8289185,1.5035
2017-02-22,57.57,7876599,1.492
2017-02-23,57.64,7178627,1.4827
2017-02-24,57.48,7806190,1.4514
2017-02-27,56.78,7702400,1.403
2017-02-28,56.87,8750655,1.4222
2017-03-01,57.14,7197973,1.448
2017-03-02,57.12,6595418,1.4435
2017-03-03,57.1,7738064,1.433
2017-03-06,56.68,9159983,1.4145
2017-03-07,56.2,10890313,1.407
2017-03-08,55.74,13061632,1.4175
2017-03-09,55.19,17844248,1.4045
2017-03-10,54.53,13886431,1.4135
2017-03-13,54.63,9090230,1.4235
2017-03-14,54.27,7892888,1.4125
2017-03-15,54.54,8712006,1.409
2017-03-16,54.8,8074278,1.4145
2017-03-17,55.78,15822141,1.4205
2017-03-20,55.81,7948425,1.4525
2017-03-21,55.54,8030642,1.4475
2017-03-22,55.89,8452070,1.417
2017-03-23,55.85,7357207,1.405
2017-03-24,56.81,15763000,1.376
2017-03-27,57.23,8861799,1.392
2017-03-28,57.35,8331644,1.3885
2017-03-29,57.54,7001635,1.393
2017-03-30,58.16,8677916,1.393
2017-03-31,58.39,9156707,1.393
2017-04-03,58.44,8989831,1.3785
2017-04-04,58.32,6474781,1.3775
2017-04-05,58.22,13656221,1.373
2017-04-06,57.92,9112533,1.3775
2017-04-07,58.02,6773750,1.4005
2017-04-10,57.95,5266312,1.3985
2017-04-11,57.88,5855091,1.402
2017-04-12,57.58,5450298,1.383
2017-04-13,57.51,4871717,1.389
2017-04-17,58.08,5626042,1.411
2017-04-18,58.35,5449699,1.429
2017-04-19,59.04,12000639,1.38
2017-04-20,60.08,12445862,1.3165
2017-04-21,60.61,8799985,1.2985
2017-04-24,61.11,10719785,1.295
2017-04-25,60.96,11031475,1.304
2017-04-26,61.56,8525419,1.2917
2017-04-27,61.3,15285342,1.2854
2017-04-28,60.06,25046130,1.3293
2017-05-01,60.18,10910341,1.3585
2017-05-02,60.5,9152088,1.3625
2017-05-03,60.59,7706367,1.3745
2017-05-04,60.83,6874286,1.3495
2017-05-05,60.95,6443309,1.357
2017-05-08,60.94,5588371,1.369
2017-05-09,60.98,5806562,1.3515
2017-05-10,60.66,7198414,1.3665
2017-05-11,60.27,5516893,1.3425
2017-05-12,59.93,5647531,1.3495
2017-05-15,60.45,5904094,1.3345
2017-05-16,59.98,6303480,1.3145
2017-05-17,59.73,7581230,1.344
2017-05-18,59.82,8602411,1.2965
2017-05-19,61.36,12530995,1.321
2017-05-22,61.23,6392124,1.306
2017-05-23,61.15,5622524,1.3025
2017-05-24,61.89,7283789,1.2855
2017-05-25,62.9,8931804,1.293
2017-05-26,63.3,6097990,1.312
2017-05-30,63.26,7094586,1.321
2017-05-31,63.61,7314634,1.2935
2017-06-01,63.75,6058263,1.277
2017-06-02,64.57,7840374,1.2555
2017-06-05,64.27,6809284,1.2845
2017-06-06,64.16,5448439,1.2555
2017-06-07,63.5,8364994,1.2575
2017-06-08,62.24,11289266,1.2635
2017-06-09,62.19,11240487,1.2655
2017-06-12,61.29,11071593,1.276
2017-06-13,60.92,9384906,1.264
2017-06-14,60.27,9703332,1.2555
2017-06-15,60.09,7515980,1.258
2017-06-16,60.14,11522438,1.2355
2017-06-19,60.9,6778024,1.242
2017-06-20,59.86,6985666,1.2195
2017-06-21,59.96,6027647,1.1935
2017-06-22,59.51,5602002,1.1345
2017-06-23,59.81,6469495,1.1995
2017-06-26,59.64,5674637,1.2195
2017-06-27,58.96,5652429,1.2326
2017-06-28,59.18,5419169,1.2341
2017-06-29,58.36,7421177,1.2571
2017-06-30,58.31,8117066,1.2537
2017-07-03,58.25,4575268,1.277
2017-07-05,57.94,7773566,1.3
2017-07-06,57.6,8886648,1.291
2017-07-07,58.04,7278250,1.289
2017-07-10,57.81,4832094,1.286
2017-07-11,57.9,5422330,1.269
2017-07-12,58.54,7141916,1.276
2017-07-13,58.38,8460245,1.312
2017-07-14,58.76,5441377,1.337
2017-07-17,58.33,6774471,1.3355
2017-07-18,58.21,7857464,1.349
2017-07-19,58.11,8203557,1.358
2017-07-20,58.03,10546701,1.35
2017-07-21,57.98,6717235,1.3655
2017-07-24,58.02,7442589,1.3255
2017-07-25,58.55,7933137,1.306
2017-07-26,57.94,8775889,1.348
2017-07-27,59.5,23286716,1.3595
2017-07-28,54.0,53454789,1.3785
2017-07-31,53.98,20299407,1.3925
2017-08-01,54.73,18120912,1.3785
2017-08-02,55.43,14764854,1.4035
2017-08-03,55.68,13331459,1.402
2017-08-04,55.44,9179779,1.4015
2017-08-07,55.63,7253947,1.4205
2017-08-08,54.52,11095259,1.4275
